"Name","Directory","CreationTime","SourceCompany"
"LOCK","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Download Service\EntryDB","2025-08-24 6:26:40 PM","Unknown"
"LOG","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Download Service\EntryDB","2025-08-24 6:26:40 PM","Unknown"
"LOG.old","C:\Users\User\AppData\Local\Google\Chrome\User Data\Default\Download Service\EntryDB","2025-08-24 6:26:40 PM","Unknown"
"LOCK","C:\Users\User\AppData\Local\Google\Chrome\User Data\Profile 1\Download Service\EntryDB","2025-08-24 8:28:15 PM","Unknown"
"LOG","C:\Users\User\AppData\Local\Google\Chrome\User Data\Profile 1\Download Service\EntryDB","2025-08-24 8:28:15 PM","Unknown"
"LOG.old","C:\Users\User\AppData\Local\Google\Chrome\User Data\Profile 1\Download Service\EntryDB","2025-08-24 8:28:15 PM","Unknown"
"LOCK","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Download Service\EntryDB","2025-08-24 6:08:18 PM","Unknown"
"LOG","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Download Service\EntryDB","2025-08-24 6:08:18 PM","Unknown"
"LOG.old","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Default\Download Service\EntryDB","2025-08-24 6:08:18 PM","Unknown"
"LOCK","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Guest Profile\Download Service\EntryDB","2025-09-13 7:15:57 AM","Unknown"
"LOG","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Guest Profile\Download Service\EntryDB","2025-09-13 7:15:57 AM","Unknown"
"LOG.old","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Guest Profile\Download Service\EntryDB","2025-09-13 7:15:57 AM","Unknown"
"LOCK","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Profile 1\Download Service\EntryDB","2025-09-13 7:15:35 AM","Unknown"
"LOG","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Profile 1\Download Service\EntryDB","2025-09-13 7:15:35 AM","Unknown"
"LOG.old","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Profile 1\Download Service\EntryDB","2025-09-13 7:15:35 AM","Unknown"
"LOCK","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Profile 2\Download Service\EntryDB","2025-09-23 5:40:17 PM","Unknown"
"LOG","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Profile 2\Download Service\EntryDB","2025-09-23 5:40:17 PM","Unknown"
"LOG.old","C:\Users\User\AppData\Local\Microsoft\Edge\User Data\Profile 2\Download Service\EntryDB","2025-09-23 5:40:17 PM","Unknown"
